ligand,receptor,TF
None,CFTR,NR3C2
None,CFTR,JUND
None,CFTR,MAF
None,CFTR,NR3C1
None,CFTR,GATA1
None,CFTR,HHEX
None,CFTR,TRAF6
None,CFTR,FOXI1
None,CFTR,ONECUT1
None,CFTR,CTCFL
None,CFTR,CREM
None,CFTR,FLI1
None,CFTR,NR1H4
None,CFTR,SP1
None,CFTR,SIN3A
None,CFTR,CTCF
None,CFTR,SMAD3
None,CFTR,MECP2
None,CFTR,ESR1
None,CFTR,SREBF1
None,CFTR,NFIL3
None,CFTR,ATF4
None,CFTR,TOP2B
None,CFTR,ZNF143
None,CFTR,RAD51
None,CFTR,KLF4
None,CFTR,LMO2
None,CFTR,WT1
None,CFTR,NEUROG3
None,CFTR,PAX6
None,CFTR,GLI3
None,CFTR,STAT1
None,CFTR,MEF2D
None,CFTR,ELF3
None,CFTR,SP100
None,CFTR,ATM
None,CFTR,IRF3
None,CFTR,CHD4
None,CFTR,NR1I3
None,CFTR,ATF6
None,CFTR,NEUROD1
None,CFTR,NR1I2
None,CFTR,SPDEF
None,CFTR,SCAND1
None,CFTR,CTNNB1
None,CFTR,PHOX2A
None,CFTR,MYC
None,CFTR,EGR1
None,CFTR,HDAC1
None,CFTR,BCL6
None,CFTR,HNF1B
None,CFTR,FOXJ1
None,CFTR,ASCL1
None,CFTR,TCF7L2
None,CFTR,PPARG
None,CFTR,SRSF1
None,CFTR,STAT4
None,CFTR,JUN
None,CFTR,PHOX2B
None,CFTR,NKX2-1
None,CFTR,CITED2
None,CFTR,SOX9
None,CFTR,NFE2L2
None,CFTR,FOS
None,CFTR,USF2
None,CFTR,XRCC6
None,CFTR,TP53
None,CFTR,BIN1
None,CFTR,CREB1
None,CFTR,TBP
None,CFTR,TLX1
None,CFTR,YY1
None,CFTR,BRCA2
None,CFTR,UPF2
None,CFTR,HNRNPD
None,CFTR,JUNB
None,CFTR,HNF1A
None,CFTR,TAL1
None,CFTR,CUX1
None,CFTR,HNF4A
None,CFTR,XBP1
None,CFTR,EGF
None,CFTR,POU5F1
None,CFTR,PTF1A
None,CFTR,TWIST1
None,CFTR,TFAP2C
None,CFTR,UPF1
None,CFTR,NF1
None,CFTR,SOX17
None,CFTR,SOX2
None,CFTR,EHF
None,CFTR,HDAC7
None,CFTR,EP300
None,CFTR,FOXA1
None,CFTR,ESR2
None,CFTR,FOXP2
None,CFTR,MDM2
None,CFTR,STAT3
None,CFTR,CDX2
None,CFTR,DNMT1
None,CFTR,IKBKB
None,CFTR,UBP1
None,CFTR,TFAP2A
None,CFTR,PGR
None,CFTR,HDAC9
None,CFTR,RELA
None,CFTR,CEBPB
None,CFTR,BRCA1
None,CFTR,AR
None,CFTR,SALL3
None,CFTR,NCOA2
None,CFTR,CEBPD
None,CFTR,GLI1
None,CFTR,FUS
None,CFTR,HOXA7
None,CFTR,DDIT3
None,CFTR,TIAL1
None,CFTR,FOXA3
None,CFTR,FOXA2
None,CFTR,CEBPZ
None,CFTR,HCFC1
None,CFTR,SREBF2
None,ITGA3,JUN
None,ITGA3,FOSL1
None,ITGA3,LMX1B
None,ITGA3,SOX9
None,ITGA3,SRF
None,ITGA3,TSG101
None,ITGA3,TP53
None,ITGA3,BIN1
None,ITGA3,PAX2
None,ITGA3,HOXC13
None,ITGA3,DLX3
None,ITGA3,MYOD1
None,ITGA3,EGF
None,ITGA3,NR1H3
None,ITGA3,STAT5A
None,ITGA3,TFAP2C
None,ITGA3,WT1
None,ITGA3,PAX6
None,ITGA3,STAT1
None,ITGA3,TEAD1
None,ITGA3,WWTR1
None,ITGA3,USF1
None,ITGA3,ABL1
None,ITGA3,SIX1
None,ITGA3,ETS1
None,ITGA3,TEF
None,ITGA3,NOTCH3
None,ITGA3,SNAI2
None,ITGA3,CTNNB1
None,ITGA3,NR1H2
None,ITGA3,MYC
None,ITGA3,MEF2A
None,ITGA3,TIAL1
None,ITGA3,FHL2
None,CD74,AIRE
None,CD74,NKX2-3
None,CD74,IFI16
None,CD74,STAT2
None,CD74,HOXA5
None,CD74,MXI1
None,CD74,HOXC8
None,CD74,BATF
None,CD74,TNFAIP3
None,CD74,IRF9
None,CD74,COPS5
None,CD74,AHR
None,CD74,NFKBIA
None,CD74,ATF3
None,CD74,IRF1
None,CD74,HOXB7
None,CD74,IRF4
None,CD74,GATA3
None,CD74,ATF5
None,CD74,TSC22D3
None,CD74,STAT1
None,CD74,PITX1
None,CD74,RUNX3
None,CD74,HOXA1
None,CD74,HOXC6
None,CD74,HOXA4
None,CD74,FOXO1
None,CD74,POU2AF1
None,CD74,HOXB4
None,CD74,PDX1
None,CD74,REL
None,CD74,ZEB2
None,CD74,NFE2L1
None,CD74,SIRT1
None,CD74,MYC
None,CD74,EGR1
None,CD74,SPIB
None,CD74,BCL6
None,CD74,APEX1
None,CD74,HOXD3
None,CD74,PRDM1
None,CD74,FHL2
None,CD74,STAT4
None,CD74,UBTF
None,CD74,JUN
None,CD74,TBX21
None,CD74,PHOX2B
None,CD74,NKX2-1
None,CD74,FOS
None,CD74,FOXP3
None,CD74,PIR
None,CD74,NFKB2
None,CD74,IRF2
None,CD74,HOXD1
None,CD74,TP53
None,CD74,TBP
None,CD74,NKX2-5
None,CD74,ETV6
