Src,Dst,Source
IFNA1,IFNAR1&IFNAR2,cellcall
IFNA2,IFNAR1&IFNAR2,cellcall
IFNA4,IFNAR1&IFNAR2,cellcall
IFNA5,IFNAR1&IFNAR2,cellcall
IFNA6,IFNAR1&IFNAR2,cellcall
IFNA7,IFNAR1&IFNAR2,cellcall
IFNA8,IFNAR1&IFNAR2,cellcall
IFNA10,IFNAR1&IFNAR2,cellcall
IFNA14,IFNAR1&IFNAR2,cellcall
IFNA16,IFNAR1&IFNAR2,cellcall
IFNA17,IFNAR1&IFNAR2,cellcall
IFNA21,IFNAR1&IFNAR2,cellcall
IFNB1,IFNAR1&IFNAR2,cellcall
IFNG,IFNGR1&IFNGR2,cellcall
IL10,IL10RA&IL10RB,cellcall
WNT16,FZD10&LRP6,cellcall
WNT16,FZD10&LRP5,cellcall
WNT16,FZD2&LRP6,cellcall
WNT16,FZD2&LRP5,cellcall
WNT16,FZD5&LRP6,cellcall
WNT16,FZD5&LRP5,cellcall
WNT16,FZD3&LRP6,cellcall
WNT16,FZD3&LRP5,cellcall
WNT16,FZD1&LRP6,cellcall
WNT16,FZD1&LRP5,cellcall
WNT16,FZD4&LRP6,cellcall
WNT16,FZD4&LRP5,cellcall
WNT16,FZD6&LRP6,cellcall
WNT16,FZD6&LRP5,cellcall
WNT16,FZD7&LRP6,cellcall
WNT16,FZD7&LRP5,cellcall
WNT16,FZD8&LRP6,cellcall
WNT16,FZD8&LRP5,cellcall
WNT16,FZD9&LRP6,cellcall
WNT16,FZD9&LRP5,cellcall
WNT4,FZD10&LRP6,cellcall
WNT4,FZD10&LRP5,cellcall
WNT4,FZD2&LRP6,cellcall
WNT4,FZD2&LRP5,cellcall
WNT4,FZD5&LRP6,cellcall
WNT4,FZD5&LRP5,cellcall
WNT4,FZD3&LRP6,cellcall
WNT4,FZD3&LRP5,cellcall
WNT4,FZD1&LRP6,cellcall
WNT4,FZD1&LRP5,cellcall
WNT4,FZD4&LRP6,cellcall
WNT4,FZD4&LRP5,cellcall
WNT4,FZD6&LRP6,cellcall
WNT4,FZD6&LRP5,cellcall
WNT4,FZD7&LRP6,cellcall
WNT4,FZD7&LRP5,cellcall
WNT4,FZD8&LRP6,cellcall
WNT4,FZD8&LRP5,cellcall
WNT4,FZD9&LRP6,cellcall
WNT4,FZD9&LRP5,cellcall
TGFB1,TGFBR1&TGFBR2,cellcall
TGFB2,TGFBR1&TGFBR2,cellcall
TGFB3,TGFBR1&TGFBR2,cellcall
WNT1,FZD10&LRP6,cellcall
WNT1,FZD10&LRP5,cellcall
WNT1,FZD2&LRP6,cellcall
WNT1,FZD2&LRP5,cellcall
WNT1,FZD5&LRP6,cellcall
WNT1,FZD5&LRP5,cellcall
WNT1,FZD3&LRP6,cellcall
WNT1,FZD3&LRP5,cellcall
WNT1,FZD1&LRP6,cellcall
WNT1,FZD1&LRP5,cellcall
WNT1,FZD4&LRP6,cellcall
WNT1,FZD4&LRP5,cellcall
WNT1,FZD6&LRP6,cellcall
WNT1,FZD6&LRP5,cellcall
WNT1,FZD7&LRP6,cellcall
WNT1,FZD7&LRP5,cellcall
WNT1,FZD8&LRP6,cellcall
WNT1,FZD8&LRP5,cellcall
WNT1,FZD9&LRP6,cellcall
WNT1,FZD9&LRP5,cellcall
WNT2,FZD10&LRP6,cellcall
WNT2,FZD10&LRP5,cellcall
WNT2,FZD2&LRP6,cellcall
WNT2,FZD2&LRP5,cellcall
WNT2,FZD5&LRP6,cellcall
WNT2,FZD5&LRP5,cellcall
WNT2,FZD3&LRP6,cellcall
WNT2,FZD3&LRP5,cellcall
WNT2,FZD1&LRP6,cellcall
WNT2,FZD1&LRP5,cellcall
WNT2,FZD4&LRP6,cellcall
WNT2,FZD4&LRP5,cellcall
WNT2,FZD6&LRP6,cellcall
WNT2,FZD6&LRP5,cellcall
WNT2,FZD7&LRP6,cellcall
WNT2,FZD7&LRP5,cellcall
WNT2,FZD8&LRP6,cellcall
WNT2,FZD8&LRP5,cellcall
WNT2,FZD9&LRP6,cellcall
WNT2,FZD9&LRP5,cellcall
WNT3,FZD10&LRP6,cellcall
WNT3,FZD10&LRP5,cellcall
WNT3,FZD2&LRP6,cellcall
WNT3,FZD2&LRP5,cellcall
WNT3,FZD5&LRP6,cellcall
WNT3,FZD5&LRP5,cellcall
WNT3,FZD3&LRP6,cellcall
WNT3,FZD3&LRP5,cellcall
WNT3,FZD1&LRP6,cellcall
WNT3,FZD1&LRP5,cellcall
WNT3,FZD4&LRP6,cellcall
WNT3,FZD4&LRP5,cellcall
WNT3,FZD6&LRP6,cellcall
WNT3,FZD6&LRP5,cellcall
WNT3,FZD7&LRP6,cellcall
WNT3,FZD7&LRP5,cellcall
WNT3,FZD8&LRP6,cellcall
WNT3,FZD8&LRP5,cellcall
WNT3,FZD9&LRP6,cellcall
WNT3,FZD9&LRP5,cellcall
WNT6,FZD10&LRP6,cellcall
WNT6,FZD10&LRP5,cellcall
WNT6,FZD2&LRP6,cellcall
WNT6,FZD2&LRP5,cellcall
WNT6,FZD5&LRP6,cellcall
WNT6,FZD5&LRP5,cellcall
WNT6,FZD3&LRP6,cellcall
WNT6,FZD3&LRP5,cellcall
WNT6,FZD1&LRP6,cellcall
WNT6,FZD1&LRP5,cellcall
WNT6,FZD4&LRP6,cellcall
WNT6,FZD4&LRP5,cellcall
WNT6,FZD6&LRP6,cellcall
WNT6,FZD6&LRP5,cellcall
WNT6,FZD7&LRP6,cellcall
WNT6,FZD7&LRP5,cellcall
WNT6,FZD8&LRP6,cellcall
WNT6,FZD8&LRP5,cellcall
WNT6,FZD9&LRP6,cellcall
WNT6,FZD9&LRP5,cellcall
WNT7A,FZD10&LRP6,cellcall
WNT7A,FZD10&LRP5,cellcall
WNT7A,FZD2&LRP6,cellcall
WNT7A,FZD2&LRP5,cellcall
WNT7A,FZD5&LRP6,cellcall
WNT7A,FZD5&LRP5,cellcall
WNT7A,FZD3&LRP6,cellcall
WNT7A,FZD3&LRP5,cellcall
WNT7A,FZD1&LRP6,cellcall
WNT7A,FZD1&LRP5,cellcall
WNT7A,FZD4&LRP6,cellcall
WNT7A,FZD4&LRP5,cellcall
WNT7A,FZD6&LRP6,cellcall
WNT7A,FZD6&LRP5,cellcall
WNT7A,FZD7&LRP6,cellcall
WNT7A,FZD7&LRP5,cellcall
WNT7A,FZD8&LRP6,cellcall
WNT7A,FZD8&LRP5,cellcall
WNT7A,FZD9&LRP6,cellcall
WNT7A,FZD9&LRP5,cellcall
WNT7B,FZD10&LRP6,cellcall
WNT7B,FZD10&LRP5,cellcall
WNT7B,FZD2&LRP6,cellcall
WNT7B,FZD2&LRP5,cellcall
WNT7B,FZD5&LRP6,cellcall
WNT7B,FZD5&LRP5,cellcall
WNT7B,FZD3&LRP6,cellcall
WNT7B,FZD3&LRP5,cellcall
WNT7B,FZD1&LRP6,cellcall
WNT7B,FZD1&LRP5,cellcall
WNT7B,FZD4&LRP6,cellcall
WNT7B,FZD4&LRP5,cellcall
WNT7B,FZD6&LRP6,cellcall
WNT7B,FZD6&LRP5,cellcall
WNT7B,FZD7&LRP6,cellcall
WNT7B,FZD7&LRP5,cellcall
WNT7B,FZD8&LRP6,cellcall
WNT7B,FZD8&LRP5,cellcall
WNT7B,FZD9&LRP6,cellcall
WNT7B,FZD9&LRP5,cellcall
WNT8A,FZD10&LRP6,cellcall
WNT8A,FZD10&LRP5,cellcall
WNT8A,FZD2&LRP6,cellcall
WNT8A,FZD2&LRP5,cellcall
WNT8A,FZD5&LRP6,cellcall
WNT8A,FZD5&LRP5,cellcall
WNT8A,FZD3&LRP6,cellcall
WNT8A,FZD3&LRP5,cellcall
WNT8A,FZD1&LRP6,cellcall
WNT8A,FZD1&LRP5,cellcall
WNT8A,FZD4&LRP6,cellcall
WNT8A,FZD4&LRP5,cellcall
WNT8A,FZD6&LRP6,cellcall
WNT8A,FZD6&LRP5,cellcall
WNT8A,FZD7&LRP6,cellcall
WNT8A,FZD7&LRP5,cellcall
WNT8A,FZD8&LRP6,cellcall
WNT8A,FZD8&LRP5,cellcall
WNT8A,FZD9&LRP6,cellcall
WNT8A,FZD9&LRP5,cellcall
WNT8B,FZD10&LRP6,cellcall
WNT8B,FZD10&LRP5,cellcall
WNT8B,FZD2&LRP6,cellcall
WNT8B,FZD2&LRP5,cellcall
WNT8B,FZD5&LRP6,cellcall
WNT8B,FZD5&LRP5,cellcall
WNT8B,FZD3&LRP6,cellcall
WNT8B,FZD3&LRP5,cellcall
WNT8B,FZD1&LRP6,cellcall
WNT8B,FZD1&LRP5,cellcall
WNT8B,FZD4&LRP6,cellcall
WNT8B,FZD4&LRP5,cellcall
WNT8B,FZD6&LRP6,cellcall
WNT8B,FZD6&LRP5,cellcall
WNT8B,FZD7&LRP6,cellcall
WNT8B,FZD7&LRP5,cellcall
WNT8B,FZD8&LRP6,cellcall
WNT8B,FZD8&LRP5,cellcall
WNT8B,FZD9&LRP6,cellcall
WNT8B,FZD9&LRP5,cellcall
WNT10B,FZD10&LRP6,cellcall
WNT10B,FZD10&LRP5,cellcall
WNT10B,FZD2&LRP6,cellcall
WNT10B,FZD2&LRP5,cellcall
WNT10B,FZD5&LRP6,cellcall
WNT10B,FZD5&LRP5,cellcall
WNT10B,FZD3&LRP6,cellcall
WNT10B,FZD3&LRP5,cellcall
WNT10B,FZD1&LRP6,cellcall
WNT10B,FZD1&LRP5,cellcall
WNT10B,FZD4&LRP6,cellcall
WNT10B,FZD4&LRP5,cellcall
WNT10B,FZD6&LRP6,cellcall
WNT10B,FZD6&LRP5,cellcall
WNT10B,FZD7&LRP6,cellcall
WNT10B,FZD7&LRP5,cellcall
WNT10B,FZD8&LRP6,cellcall
WNT10B,FZD8&LRP5,cellcall
WNT10B,FZD9&LRP6,cellcall
WNT10B,FZD9&LRP5,cellcall
WNT2B,FZD10&LRP6,cellcall
WNT2B,FZD10&LRP5,cellcall
WNT2B,FZD2&LRP6,cellcall
WNT2B,FZD2&LRP5,cellcall
WNT2B,FZD5&LRP6,cellcall
WNT2B,FZD5&LRP5,cellcall
WNT2B,FZD3&LRP6,cellcall
WNT2B,FZD3&LRP5,cellcall
WNT2B,FZD1&LRP6,cellcall
WNT2B,FZD1&LRP5,cellcall
WNT2B,FZD4&LRP6,cellcall
WNT2B,FZD4&LRP5,cellcall
WNT2B,FZD6&LRP6,cellcall
WNT2B,FZD6&LRP5,cellcall
WNT2B,FZD7&LRP6,cellcall
WNT2B,FZD7&LRP5,cellcall
WNT2B,FZD8&LRP6,cellcall
WNT2B,FZD8&LRP5,cellcall
WNT2B,FZD9&LRP6,cellcall
WNT2B,FZD9&LRP5,cellcall
WNT9A,FZD10&LRP6,cellcall
WNT9A,FZD10&LRP5,cellcall
WNT9A,FZD2&LRP6,cellcall
WNT9A,FZD2&LRP5,cellcall
