,ligand,receptor,Source,evidence,type,LR
0,TGFB1,R2&TGFbR1,CellChat,KEGG: hsa04350,Secreted Signaling,TGFB1_R2&TGFbR1
1,TGFB2,R2&TGFbR1,CellChat,KEGG: hsa04350,Secreted Signaling,TGFB2_R2&TGFbR1
2,TGFB3,R2&TGFbR1,CellChat,KEGG: hsa04350,Secreted Signaling,TGFB3_R2&TGFbR1
3,TGFB1,ACVR1B&TGFbR2,CellChat,PMID: 27449815,Secreted Signaling,TGFB1_ACVR1B&TGFbR2
4,TGFB1,ACVR1C&TGFbR2,CellChat,PMID: 27449815,Secreted Signaling,TGFB1_ACVR1C&TGFbR2
5,TGFB2,ACVR1B&TGFbR2,CellChat,PMID: 27449815,Secreted Signaling,TGFB2_ACVR1B&TGFbR2
6,TGFB2,ACVR1C&TGFbR2,CellChat,PMID: 27449815,Secreted Signaling,TGFB2_ACVR1C&TGFbR2
7,TGFB3,ACVR1B&TGFbR2,CellChat,PMID: 27449815,Secreted Signaling,TGFB3_ACVR1B&TGFbR2
8,TGFB3,ACVR1C&TGFbR2,CellChat,PMID: 27449815,Secreted Signaling,TGFB3_ACVR1C&TGFbR2
9,TGFB1,ACVR1&TGFbR,CellChat,PMID: 29376829,Secreted Signaling,TGFB1_ACVR1&TGFbR
10,TGFB2,ACVR1&TGFbR,CellChat,PMID: 29376829,Secreted Signaling,TGFB2_ACVR1&TGFbR
11,TGFB3,ACVR1&TGFbR,CellChat,PMID: 29376829,Secreted Signaling,TGFB3_ACVR1&TGFbR
12,BMP2,ACVR2A&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2_ACVR2A&BMPR1A
13,BMP2,ACVR2B&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2_ACVR2B&BMPR1A
14,BMP2,BMPR1A&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2_BMPR1A&BMPR2
15,BMP2,ACVR2A&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2_ACVR2A&BMPR1B
16,BMP2,ACVR2B&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2_ACVR2B&BMPR1B
17,BMP2,BMPR1B&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP2_BMPR1B&BMPR2
18,BMP4,ACVR2A&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4_ACVR2A&BMPR1A
19,BMP4,ACVR2B&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4_ACVR2B&BMPR1A
20,BMP4,BMPR1A&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4_BMPR1A&BMPR2
21,BMP4,ACVR2A&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4_ACVR2A&BMPR1B
22,BMP4,ACVR2B&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4_ACVR2B&BMPR1B
23,BMP4,BMPR1B&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,BMP4_BMPR1B&BMPR2
24,GDF5,ACVR2A&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5_ACVR2A&BMPR1A
25,GDF5,ACVR2B&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5_ACVR2B&BMPR1A
26,GDF5,BMPR1A&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5_BMPR1A&BMPR2
27,GDF5,ACVR2A&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5_ACVR2A&BMPR1B
28,GDF5,ACVR2B&BMPR1B,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5_ACVR2B&BMPR1B
29,GDF5,BMPR1B&BMPR2,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF5_BMPR1B&BMPR2
30,GDF6,ACVR2A&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6_ACVR2A&BMPR1A
31,GDF6,ACVR2B&BMPR1A,CellChat,KEGG: hsa04350; PMID:26893264,Secreted Signaling,GDF6_ACVR2B&BMPR1A
