ligand,receptor
TGFB1,R2_TGFbR1
TGFB2,R2_TGFbR1
TGFB3,R2_TGFbR1
TGFB1,ACVR1B_TGFbR2
TGFB1,ACVR1C_TGFbR2
TGFB2,ACVR1B_TGFbR2
TGFB2,ACVR1C_TGFbR2
TGFB3,ACVR1B_TGFbR2
TGFB3,ACVR1C_TGFbR2
TGFB1,ACVR1_TGFbR
TGFB2,ACVR1_TGFbR
TGFB3,ACVR1_TGFbR
BMP2,ACVR2A_BMPR1A
BMP2,ACVR2B_BMPR1A
BMP2,BMPR1A_BMPR2
BMP2,ACVR2A_BMPR1B
BMP2,ACVR2B_BMPR1B
BMP2,BMPR1B_BMPR2
BMP4,ACVR2A_BMPR1A
BMP4,ACVR2B_BMPR1A
BMP4,BMPR1A_BMPR2
BMP4,ACVR2A_BMPR1B
BMP4,ACVR2B_BMPR1B
BMP4,BMPR1B_BMPR2
GDF5,ACVR2A_BMPR1A
GDF5,ACVR2B_BMPR1A
GDF5,BMPR1A_BMPR2
GDF5,ACVR2A_BMPR1B
GDF5,ACVR2B_BMPR1B
GDF5,BMPR1B_BMPR2
GDF6,ACVR2A_BMPR1A
GDF6,ACVR2B_BMPR1A
GDF6,BMPR1A_BMPR2
GDF6,ACVR2A_BMPR1B
GDF6,ACVR2B_BMPR1B
GDF6,BMPR1B_BMPR2
GDF7,ACVR2A_BMPR1A
GDF7,ACVR2B_BMPR1A
GDF7,BMPR1A_BMPR2
GDF7,ACVR2A_BMPR1B
GDF7,ACVR2B_BMPR1B
GDF7,BMPR1B_BMPR2
BMP15,BMPR1B_BMPR2
BMP5,ACVR1_ACVR2A
BMP5,ACVR1_ACVR2B
BMP5,ACVR1_BMPR2
BMP5,ACVR2A_BMPR1A
BMP5,ACVR2B_BMPR1A
BMP5,BMPR1A_BMPR2
BMP5,ACVR2A_BMPR1B
BMP5,ACVR2B_BMPR1B
BMP5,BMPR1B_BMPR2
BMP6,ACVR1_ACVR2A
BMP6,ACVR1_ACVR2B
BMP6,ACVR1_BMPR2
BMP6,ACVR2A_BMPR1A
BMP6,ACVR2B_BMPR1A
BMP6,BMPR1A_BMPR2
BMP6,ACVR2A_BMPR1B
BMP6,ACVR2B_BMPR1B
BMP6,BMPR1B_BMPR2
