Src,Dst,Source
OCLN,OCLN,cellcall
CCL26,CCR1,cellcall
CCL26,CCR3,cellcall
CCL26,CCR5,cellcall
CCL26,CX3CR1,cellcall
CCL26,CCR2,cellcall
CXCL13,CCR10,cellcall
CXCL13,CXCR3,cellcall
CXCL13,CXCR5,cellcall
TNFSF13B,TNFRSF13C,cellcall
DLL3,NOTCH1,cellcall
DLL3,NOTCH2,cellcall
DLL3,NOTCH3,cellcall
DLL3,NOTCH4,cellcall
CLDN16,CLDN19,cellcall
NRG3,ERBB4,cellcall
CGA,ADCYAP1R1,cellcall
CGA,FSHR,cellcall
CGA,LHCGR,cellcall
CGA,TSHR,cellcall
CCL27,CCR3,cellcall
CCL27,CCR10,cellcall
CCL27,CCR2,cellcall
IL24,IL10RB,cellcall
IL24,IL20RA,cellcall
IL24,IL20RB,cellcall
IL24,IL22RA1,cellcall
ADCYAP1,ADCYAP1R1,cellcall
ADCYAP1,TSHR,cellcall
ADCYAP1,VIPR2,cellcall
RLN3,RXFP3,cellcall
CNTF,CNTFR,cellcall
CNTF,EGFR,cellcall
CNTF,IL6R,cellcall
CNTF,IL6ST,cellcall
CNTF,LIFR,cellcall
CRH,CRHR1,cellcall
CRH,CRHR2,cellcall
CSF1,CSF1R,cellcall
CSF2,CSF2RA,cellcall
CSF2,CSF2RB,cellcall
CSF2,CSF3R,cellcall
CSF2,IL3RA,cellcall
CSF3,CSF3R,cellcall
CSH1,PRLR,cellcall
CSH2,PRLR,cellcall
NRG4,ERBB4,cellcall
CTF1,IL6ST,cellcall
CTF1,LIFR,cellcall
CLDN19,CLDN7,cellcall
CLDN19,CLDN19,cellcall
CLDN19,CLDN8,cellcall
CLDN19,CLDN6,cellcall
CLDN19,CLDN9,cellcall
GDF7,BMPR1A,cellcall
GDF7,BMPR2,cellcall
DCN,ERBB4,cellcall
DCN,MET,cellcall
JAG1,NOTCH1,cellcall
JAG1,NOTCH2,cellcall
JAG1,NOTCH3,cellcall
JAG1,NOTCH4,cellcall
AGT,AGTR1,cellcall
HBEGF,EGFR,cellcall
HBEGF,ERBB4,cellcall
EDA,EDAR,cellcall
EDN1,EDNRA,cellcall
EDN1,EDNRB,cellcall
EDN2,EDNRA,cellcall
EDN3,EDNRA,cellcall
EFNA1,EPHA2,cellcall
EFNA1,EPHA1,cellcall
EFNA1,EPHA3,cellcall
EFNA1,EPHA4,cellcall
EFNA1,EPHA5,cellcall
EFNA1,EPHA7,cellcall
EFNA1,EPHA8,cellcall
EFNA1,EPHA6,cellcall
EFNA2,EPHA2,cellcall
EFNA2,EPHA1,cellcall
EFNA2,EPHA3,cellcall
EFNA2,EPHA4,cellcall
EFNA2,EPHA5,cellcall
EFNA2,EPHA7,cellcall
EFNA2,EPHA8,cellcall
EFNA2,EPHA6,cellcall
EFNA3,EPHA2,cellcall
EFNA3,EPHA1,cellcall
EFNA3,EPHA3,cellcall
EFNA3,EPHA4,cellcall
EFNA3,EPHA5,cellcall
EFNA3,EPHA7,cellcall
EFNA3,EPHA8,cellcall
EFNA3,EPHA6,cellcall
EFNA4,EPHA2,cellcall
EFNA4,EPHA1,cellcall
EFNA4,EPHA3,cellcall
EFNA4,EPHA4,cellcall
EFNA4,EPHA5,cellcall
EFNA4,EPHA7,cellcall
EFNA4,EPHA8,cellcall
EFNA4,EPHA6,cellcall
EFNA4,PDGFRB,cellcall
EFNA5,EPHA2,cellcall
EFNA5,EPHA1,cellcall
EFNA5,EPHA3,cellcall
EFNA5,EPHA4,cellcall
EFNA5,EPHA5,cellcall
EFNA5,EPHA7,cellcall
EFNA5,EPHA8,cellcall
EFNA5,EPHA6,cellcall
EFNB1,EPHB1,cellcall
EFNB1,EPHB2,cellcall
EFNB1,EPHB3,cellcall
EFNB1,EPHB4,cellcall
EFNB1,EPHB6,cellcall
EFNB2,EPHB1,cellcall
EFNB2,EPHB2,cellcall
EFNB2,EPHB3,cellcall
EFNB2,EPHB4,cellcall
EFNB2,EPHB6,cellcall
EFNB3,EPHB1,cellcall
EFNB3,EPHB2,cellcall
EFNB3,EPHB3,cellcall
EFNB3,EPHB4,cellcall
EFNB3,EPHB6,cellcall
EGF,EGFR,cellcall
EGF,ERBB2,cellcall
EGF,ERBB3,cellcall
EGF,ERBB4,cellcall
EPO,EPOR,cellcall
EREG,EGFR,cellcall
EREG,ERBB2,cellcall
EREG,ERBB3,cellcall
EREG,ERBB4,cellcall
FGF1,EGFR,cellcall
FGF1,FGFR1,cellcall
FGF1,FGFR3,cellcall
FGF1,FGFR2,cellcall
FGF1,FGFR4,cellcall
FGF2,FGFR1,cellcall
FGF2,FGFR3,cellcall
FGF2,FGFR2,cellcall
FGF2,FGFR4,cellcall
FGF3,FGFR1,cellcall
FGF3,FGFR3,cellcall
FGF3,FGFR2,cellcall
FGF3,FGFR4,cellcall
FGF4,FGFR1,cellcall
FGF4,FGFR3,cellcall
FGF4,FGFR2,cellcall
FGF4,FGFR4,cellcall
FGF5,FGFR1,cellcall
