Receptor,TF,Source
AGTR1,STAT1,CellPhoneDB
AGTR1,STAT3,CellPhoneDB
AGTR1,STAT5A,CellPhoneDB
AGTR1,STAT5B,CellPhoneDB
AGTR1,STAT6,CellPhoneDB
AGTR1,STAT2,CellPhoneDB
AR,AR,CellPhoneDB
CXCR4,STAT3,CellPhoneDB
CXCR4,STAT1,CellPhoneDB
CXCR4,STAT6,CellPhoneDB
CXCR4,STAT5A,CellPhoneDB
CXCR4,STAT5B,CellPhoneDB
CXCR4,STAT4,CellPhoneDB
DCC,OTX2,CellPhoneDB
EGFR,STAT3,CellPhoneDB
EGFR,STAT1,CellPhoneDB
EGFR,STAT5A,CellPhoneDB
EGFR,STAT5B,CellPhoneDB
EPHB2,ELK1,CellPhoneDB
EPHB4,ELK1,CellPhoneDB
EPOR,STAT3,CellPhoneDB
EPOR,STAT1,CellPhoneDB
EPOR,STAT5A,CellPhoneDB
EPOR,STAT5B,CellPhoneDB
ERBB4,STAT5A,CellPhoneDB
ESR1,ESR1,CellPhoneDB
ESR2,ESR2,CellPhoneDB
FGFR2,ESR1,CellPhoneDB
FSHR,FOXO3,CellPhoneDB
FSHR,FOXO1,CellPhoneDB
HNF4A,HNF4A,CellPhoneDB
HRH1,NFKB1,CellPhoneDB
INSR,FOXO1,CellPhoneDB
KIT,STAT3,CellPhoneDB
KIT,STAT1,CellPhoneDB
KIT,STAT5A,CellPhoneDB
KIT,STAT5B,CellPhoneDB
LHCGR,FOXO3,CellPhoneDB
LHCGR,FOXO1,CellPhoneDB
MERTK,STAT1,CellPhoneDB
NOTCH1,EOMES,CellPhoneDB
NOTCH1,RBPJ,CellPhoneDB
NOTCH1,HES1,CellPhoneDB
NOTCH1,HES5,CellPhoneDB
NOTCH1,HEY2,CellPhoneDB
NOTCH1,HEY1,CellPhoneDB
NOTCH2,ID4,CellPhoneDB
NOTCH2,RBPJ,CellPhoneDB
NOTCH2,HES1,CellPhoneDB
NOTCH3,RBPJ,CellPhoneDB
NOTCH3,HES4,CellPhoneDB
NOTCH4,RBPJ,CellPhoneDB
NOTCH4,HEYL,CellPhoneDB
NR0B2,NR0B2,CellPhoneDB
NR1H2,NR1H2,CellPhoneDB
NR1H3,NR1H3,CellPhoneDB
NR1H4,NR1H4,CellPhoneDB
NR1I2,NR1I2,CellPhoneDB
NR2C2,NR2C2,CellPhoneDB
NR3C1,NR3C1,CellPhoneDB
NR3C2,NR3C2,CellPhoneDB
NR4A2,NR4A2,CellPhoneDB
NR5A1,NR5A1,CellPhoneDB
NR5A2,NR5A2,CellPhoneDB
PDGFRA,STAT3,CellPhoneDB
PDGFRA,STAT1,CellPhoneDB
PDGFRA,STAT5A,CellPhoneDB
PDGFRA,STAT5B,CellPhoneDB
PDGFRB,STAT3,CellPhoneDB
PDGFRB,STAT1,CellPhoneDB
PDGFRB,STAT5A,CellPhoneDB
PDGFRB,STAT5B,CellPhoneDB
PGR,PGR,CellPhoneDB
PPARA,PPARA,CellPhoneDB
PPARD,PPARD,CellPhoneDB
PPARG,PPARG,CellPhoneDB
PTGER3,ETS1,CellPhoneDB
PTGER3,ELK1,CellPhoneDB
PTH1R,FOXC1,CellPhoneDB
PTH1R,RUNX2,CellPhoneDB
RORA,RORA,CellPhoneDB
RORB,RORB,CellPhoneDB
RORC,RORC,CellPhoneDB
THRA,THRA,CellPhoneDB
THRB,THRB,CellPhoneDB
TLR7,IRF5,CellPhoneDB
TLR8,IRF5,CellPhoneDB
TNFRSF1A,NFKB1,CellPhoneDB
TNFRSF1B,NFKB1,CellPhoneDB
VDR,VDR,CellPhoneDB
OCLN,GATA4,CellCall
OCLN,YBX3,CellCall
CCR1,FOXO3,CellCall
CCR1,IKBKB,CellCall
CCR1,NFKB1,CellCall
CCR1,NFKBIA,CellCall
CCR1,NFKBIB,CellCall
CCR1,RELA,CellCall
CCR1,STAT1,CellCall
CCR1,STAT2,CellCall
CCR1,STAT3,CellCall
CCR1,STAT5B,CellCall
CCR3,FOXO3,CellCall
CCR3,IKBKB,CellCall
CCR3,NFKB1,CellCall
CCR3,NFKBIA,CellCall
CCR3,NFKBIB,CellCall
CCR3,RELA,CellCall
CCR3,STAT1,CellCall
CCR3,STAT2,CellCall
CCR3,STAT3,CellCall
CCR3,STAT5B,CellCall
CCR5,FOXO3,CellCall
CCR5,IKBKB,CellCall
CCR5,NFKB1,CellCall
CCR5,NFKBIA,CellCall
CCR5,NFKBIB,CellCall
CCR5,RELA,CellCall
CCR5,STAT1,CellCall
CCR5,STAT2,CellCall
CCR5,STAT3,CellCall
CCR5,STAT5B,CellCall
CX3CR1,FOXO3,CellCall
CX3CR1,IKBKB,CellCall
CX3CR1,NFKB1,CellCall
CX3CR1,NFKBIA,CellCall
CX3CR1,NFKBIB,CellCall
CX3CR1,RELA,CellCall
CX3CR1,STAT1,CellCall
CX3CR1,STAT2,CellCall
CX3CR1,STAT3,CellCall
CX3CR1,STAT5B,CellCall
CCR2,FOXO3,CellCall
CCR2,IKBKB,CellCall
CCR2,NFKB1,CellCall
CCR2,NFKBIA,CellCall
CCR2,NFKBIB,CellCall
CCR2,RELA,CellCall
CCR2,STAT1,CellCall
CCR2,STAT2,CellCall
CCR2,STAT3,CellCall
CCR2,STAT5B,CellCall
CCR10,FOXO3,CellCall
CCR10,IKBKB,CellCall
CCR10,NFKB1,CellCall
CCR10,NFKBIA,CellCall
CCR10,NFKBIB,CellCall
CCR10,RELA,CellCall
CCR10,STAT1,CellCall
CCR10,STAT2,CellCall
CCR10,STAT3,CellCall
CCR10,STAT5B,CellCall
CXCR3,FOXO3,CellCall
CXCR3,IKBKB,CellCall
CXCR3,NFKB1,CellCall
CXCR3,NFKBIA,CellCall
CXCR3,NFKBIB,CellCall
CXCR3,RELA,CellCall
CXCR3,STAT1,CellCall
CXCR3,STAT2,CellCall
CXCR3,STAT3,CellCall
CXCR3,STAT5B,CellCall
CXCR5,FOXO3,CellCall
CXCR5,IKBKB,CellCall
CXCR5,NFKB1,CellCall
CXCR5,NFKBIA,CellCall
CXCR5,NFKBIB,CellCall
CXCR5,RELA,CellCall
CXCR5,STAT1,CellCall
CXCR5,STAT2,CellCall
CXCR5,STAT3,CellCall
CXCR5,STAT5B,CellCall
TNFRSF13C,NFKB2,CellCall
NOTCH1,MYC,CellCall
NOTCH1,NFKB2,CellCall
NOTCH1,SNW1,CellCall
NOTCH1,HEYL,CellCall
NOTCH2,MYC,CellCall
NOTCH2,NFKB2,CellCall
NOTCH2,SNW1,CellCall
NOTCH2,HEY1,CellCall
NOTCH2,HEY2,CellCall
NOTCH2,HEYL,CellCall
NOTCH2,HES5,CellCall
NOTCH3,HES1,CellCall
NOTCH3,MYC,CellCall
NOTCH3,NFKB2,CellCall
NOTCH3,SNW1,CellCall
NOTCH3,HEY1,CellCall
NOTCH3,HEY2,CellCall
NOTCH3,HEYL,CellCall
NOTCH3,TBX21,CellCall
NOTCH3,HES5,CellCall
