complex,subunit,category
ITGA9&ITGB1,ITGA9,Ligand
ITGA9&ITGB1,ITGB1,Ligand
FRAS1&FREM1&NPNT,FRAS1,Ligand
FRAS1&FREM1&NPNT,FREM1,Ligand
FRAS1&FREM1&NPNT,NPNT,Ligand
FRAS1&FREM2&NPNT,FRAS1,Ligand
FRAS1&FREM2&NPNT,FREM2,Ligand
FRAS1&FREM2&NPNT,NPNT,Ligand
ITGA4&ITGB1,ITGA4,Ligand
ITGA4&ITGB1,ITGB1,Ligand
ITGA4&ITGB7,ITGA4,Ligand
ITGA4&ITGB7,ITGB7,Ligand
INHA&INHBB,INHA,Ligand
INHA&INHBB,INHBB,Ligand
INHA&INHBA,INHA,Ligand
INHA&INHBA,INHBA,Ligand
GLS2&SLC1A7,GLS2,Ligand
GLS2&SLC1A7,SLC1A7,Ligand
GLS2&SLC17A8,GLS2,Ligand
GLS2&SLC17A8,SLC17A8,Ligand
GLS&SLC1A3,GLS,Ligand
GLS&SLC1A3,SLC1A3,Ligand
SLC18A1&TPH1,SLC18A1,Ligand
SLC18A1&TPH1,TPH1,Ligand
SLC18A2&TPH1,SLC18A2,Ligand
SLC18A2&TPH1,TPH1,Ligand
GLS2&SLC17A7,GLS2,Ligand
GLS2&SLC17A7,SLC17A7,Ligand
GLS&SLC1A6,GLS,Ligand
GLS&SLC1A6,SLC1A6,Ligand
SLC6A4&TPH1,SLC6A4,Ligand
SLC6A4&TPH1,TPH1,Ligand
GLS2&SLC1A6,GLS2,Ligand
GLS2&SLC1A6,SLC1A6,Ligand
GLS2&SLC1A2,GLS2,Ligand
GLS2&SLC1A2,SLC1A2,Ligand
DBH&SLC18A1,DBH,Ligand
DBH&SLC18A1,SLC18A1,Ligand
DBH&SLC18A2,DBH,Ligand
DBH&SLC18A2,SLC18A2,Ligand
GLS&SLC1A7,GLS,Ligand
GLS&SLC1A7,SLC1A7,Ligand
DBH&SLC6A2,DBH,Ligand
DBH&SLC6A2,SLC6A2,Ligand
SLC18A2&TPH2,SLC18A2,Ligand
SLC18A2&TPH2,TPH2,Ligand
GLS2&SLC1A3,GLS2,Ligand
GLS2&SLC1A3,SLC1A3,Ligand
SHMT1&SLC6A9,SHMT1,Ligand
SHMT1&SLC6A9,SLC6A9,Ligand
