Src,Dst,LR
LGALS9,PTPRC,LGALS9_PTPRC
LGALS9,MET,LGALS9_MET
LGALS9,CD44,LGALS9_CD44
LGALS9,LRP1,LGALS9_LRP1
LGALS9,CD47,LGALS9_CD47
LGALS9,PTPRK,LGALS9_PTPRK
LGALS9,COLEC12,LGALS9_COLEC12
LGALS9,HAVCR2,LGALS9_HAVCR2
LGALS9,MRC2,LGALS9_MRC2
DLL1,NOTCH1,DLL1_NOTCH1
DLL1,NOTCH2,DLL1_NOTCH2
DLL1,NOTCH4,DLL1_NOTCH4
DLL1,NOTCH3,DLL1_NOTCH3
PODXL,SELL,PODXL_SELL
NRG2,ERBB2&ERBB3,NRG2_ERBB2&ERBB3
NRG2,ERBB2&ERBB4,NRG2_ERBB2&ERBB4
ADGRB1,RTN4R,ADGRB1_RTN4R
ADAM10,TSPAN15,ADAM10_TSPAN15
ADAM10,TSPAN12,ADAM10_TSPAN12
ADAM10,MET,ADAM10_MET
ADAM10,IL6R,ADAM10_IL6R
ADAM10,CD44,ADAM10_CD44
ADAM10,EPHA3,ADAM10_EPHA3
ADAM10,AXL,ADAM10_AXL
ADAM10,NOTCH1,ADAM10_NOTCH1
ADAM10,NOTCH2,ADAM10_NOTCH2
ADAM10,NRCAM,ADAM10_NRCAM
ADAM10,TSPAN17,ADAM10_TSPAN17
ADAM10,TSPAN10,ADAM10_TSPAN10
ADAM10,TREM2,ADAM10_TREM2
TNFSF11,TNFRSF11B,TNFSF11_TNFRSF11B
TNFSF11,LGR4,TNFSF11_LGR4
TNFSF11,TNFRSF11A,TNFSF11_TNFRSF11A
EREG,EGFR&ERBB2,EREG_EGFR&ERBB2
EREG,ERBB2&ERBB4,EREG_ERBB2&ERBB4
EREG,ERBB3,EREG_ERBB3
ADAM12,ITGB1,ADAM12_ITGB1
ADAM12,ITGA9,ADAM12_ITGA9
TNFSF12,TNFRSF8,TNFSF12_TNFRSF8
TNFSF12,CD163,TNFSF12_CD163
TNFSF12,TNFRSF25,TNFSF12_TNFRSF25
TNFSF12,TNFRSF12A,TNFSF12_TNFRSF12A
TNFSF14,TNFRSF6B,TNFSF14_TNFRSF6B
TNFSF14,LTBR,TNFSF14_LTBR
TNFSF14,TNFRSF14,TNFSF14_TNFRSF14
ADAM23,ITGB3,ADAM23_ITGB3
ADAM23,ITGA5,ADAM23_ITGA5
ADAM23,ITGA4,ADAM23_ITGA4
ADAM11,ITGA4,ADAM11_ITGA4
ICOSLG,CD28,ICOSLG_CD28
ICOSLG,CTLA4,ICOSLG_CTLA4
ICOSLG,ICOS,ICOSLG_ICOS
SEMA7A,ITGA1&ITGB1,SEMA7A_ITGA1&ITGB1
SEMA7A,PLXNC1,SEMA7A_PLXNC1
TNFSF13,TNFRSF11B,TNFSF13_TNFRSF11B
TNFSF13,TNFRSF13B,TNFSF13_TNFRSF13B
TNFSF13,TNFRSF1A,TNFSF13_TNFRSF1A
TNFSF13,FAS,TNFSF13_FAS
TNFSF13,SDC2,TNFSF13_SDC2
TNFSF13,TNFRSF17,TNFSF13_TNFRSF17
TNFSF13,TNFRSF14,TNFSF13_TNFRSF14
NFASC,CNTN1&CNTNAP1,NFASC_CNTN1&CNTNAP1
SLITRK3,PTPRD,SLITRK3_PTPRD
SLITRK3,PTPRS,SLITRK3_PTPRS
SLITRK5,PTPRD,SLITRK5_PTPRD
TNFSF15,TNFRSF6B,TNFSF15_TNFRSF6B
TNFSF15,TNFRSF25,TNFSF15_TNFRSF25
TGFA,EGFR&ERBB2,TGFA_EGFR&ERBB2
TGFA,ERBB3,TGFA_ERBB3
TGFA,ERBB4,TGFA_ERBB4
TNF,FFAR2,TNF_FFAR2
TNF,TNFRSF21,TNF_TNFRSF21
TNF,TNFRSF1A,TNF_TNFRSF1A
TNF,TNFRSF1B,TNF_TNFRSF1B
TNF,FAS,TNF_FAS
TNF,FLT4,TNF_FLT4
TNF,NOTCH1,TNF_NOTCH1
TNF,PTPRS,TNF_PTPRS
TNF,SEMA4C,TNF_SEMA4C
TNF,VSIR,TNF_VSIR
TNF,CELSR2,TNF_CELSR2
TNF,ICOS,TNF_ICOS
HLA-B,CD8B2,HLA-B_CD8B2
HLA-B,LILRA1,HLA-B_LILRA1
HLA-B,CD8A,HLA-B_CD8A
HLA-B,CD3D,HLA-B_CD3D
HLA-B,CD8B,HLA-B_CD8B
HLA-B,KIR2DL3,HLA-B_KIR2DL3
HLA-B,KIR3DL1,HLA-B_KIR3DL1
HLA-B,KIR3DL2,HLA-B_KIR3DL2
HLA-B,KLRD1,HLA-B_KLRD1
HLA-B,LILRB2,HLA-B_LILRB2
HLA-B,LILRB1,HLA-B_LILRB1
HLA-DRA,CD4,HLA-DRA_CD4
HLA-DRA,LAG3,HLA-DRA_LAG3
HLA-DQA2,CD4,HLA-DQA2_CD4
HLA-DQA2,LAG3,HLA-DQA2_LAG3
HLA-DQA1,CD4,HLA-DQA1_CD4
HLA-DQA1,LAG3,HLA-DQA1_LAG3
HLA-DRB1,CD4,HLA-DRB1_CD4
HLA-DRB1,LAG3,HLA-DRB1_LAG3
HLA-DQB1,CD4,HLA-DQB1_CD4
HLA-DQB1,LAG3,HLA-DQB1_LAG3
ANXA1,FPR2&FPR3,ANXA1_FPR2&FPR3
ANXA1,EGFR,ANXA1_EGFR
ANXA1,ADRA2A,ANXA1_ADRA2A
ANXA1,FPR1,ANXA1_FPR1
ANXA1,MTNR1A,ANXA1_MTNR1A
ANXA1,GRM7,ANXA1_GRM7
THY1,ITGAV&ITGB3,THY1_ITGAV&ITGB3
THY1,ITGAM&ITGB2,THY1_ITGAM&ITGB2
THY1,ITGAX&ITGB2,THY1_ITGAX&ITGB2
HLA-A,CD8B2,HLA-A_CD8B2
HLA-A,LILRA1,HLA-A_LILRA1
HLA-A,CD8A,HLA-A_CD8A
HLA-A,ERBB2,HLA-A_ERBB2
HLA-A,CD8B,HLA-A_CD8B
HLA-A,KIR2DL1,HLA-A_KIR2DL1
HLA-A,KIR2DL3,HLA-A_KIR2DL3
HLA-A,KIR3DL1,HLA-A_KIR3DL1
HLA-A,KIR3DL2,HLA-A_KIR3DL2
HLA-A,APLP2,HLA-A_APLP2
HLA-A,LILRB2,HLA-A_LILRB2
HLA-A,LILRB1,HLA-A_LILRB1
HLA-DPB1,CD4,HLA-DPB1_CD4
HLA-DPB1,LAG3,HLA-DPB1_LAG3
APP,TNFRSF21,APP_TNFRSF21
APP,LRP6,APP_LRP6
APP,TSPAN15,APP_TSPAN15
APP,TSPAN12,APP_TSPAN12
APP,CD74,APP_CD74
APP,NGFR,APP_NGFR
APP,ADRA2A,APP_ADRA2A
APP,FPR2,APP_FPR2
APP,GPC1,APP_GPC1
APP,PTGER2,APP_PTGER2
APP,DCC,APP_DCC
APP,MTNR1A,APP_MTNR1A
APP,NOTCH2,APP_NOTCH2
APP,LRP1,APP_LRP1
APP,AGER,APP_AGER
APP,LRP10,APP_LRP10
APP,NCSTN,APP_NCSTN
ITGB2,THY1,ITGB2_THY1
ITGB2,CD226,ITGB2_CD226
ICAM1,ITGAM&ITGB2,ICAM1_ITGAM&ITGB2
ICAM1,ITGAL&ITGB2,ICAM1_ITGAL&ITGB2
ICAM1,ITGAX&ITGB2,ICAM1_ITGAX&ITGB2
ICAM1,EGFR,ICAM1_EGFR
ICAM1,IL2RA,ICAM1_IL2RA
ICAM1,MUC1,ICAM1_MUC1
ICAM1,SPN,ICAM1_SPN
ICAM1,IL2RG,ICAM1_IL2RG
LCK,CD8A&CD8B,LCK_CD8A&CD8B
FCER2,ITGAV&ITGB3,FCER2_ITGAV&ITGB3
FCER2,ITGAM&ITGB2,FCER2_ITGAM&ITGB2
FCER2,ITGAX&ITGB2,FCER2_ITGAX&ITGB2
FCER2,CR2,FCER2_CR2
ITGAV,THY1,ITGAV_THY1
ANXA2,TLR2,ANXA2_TLR2
ANXA2,ROBO4,ANXA2_ROBO4
GP1BA,ITGAM&ITGB2,GP1BA_ITGAM&ITGB2
THBS1,ITGAV&ITGB3,THBS1_ITGAV&ITGB3
THBS1,ITGA2B&ITGB3,THBS1_ITGA2B&ITGB3
THBS1,ITGA3&ITGB1,THBS1_ITGA3&ITGB1
THBS1,TNFRSF11B,THBS1_TNFRSF11B
THBS1,LRP5,THBS1_LRP5
THBS1,ITGA4,THBS1_ITGA4
THBS1,CD36,THBS1_CD36
THBS1,SDC1,THBS1_SDC1
THBS1,ITGA6,THBS1_ITGA6
THBS1,LRP1,THBS1_LRP1
THBS1,CD47,THBS1_CD47
THBS1,PTPRJ,THBS1_PTPRJ
THBS1,SCARB1,THBS1_SCARB1
CD55,CR1,CD55_CR1
CD55,ADGRE5,CD55_ADGRE5
CD55,ADGRE2,CD55_ADGRE2
CD14,TLR4,CD14_TLR4
CD14,ITGB2,CD14_ITGB2
CD14,ITGB1,CD14_ITGB1
CD14,ITGA4,CD14_ITGA4
CD14,TLR1,CD14_TLR1
CD14,TLR9,CD14_TLR9
CD14,TLR6,CD14_TLR6
MELTF,TFRC,MELTF_TFRC
CD48,CD2,CD48_CD2
