complex,category,subunit
FRAS1&FREM1&NPNT,Ligand,FRAS1
FRAS1&FREM1&NPNT,Ligand,FREM1
FRAS1&FREM1&NPNT,Ligand,NPNT
FRAS1&FREM2&NPNT,Ligand,FRAS1
FRAS1&FREM2&NPNT,Ligand,FREM2
FRAS1&FREM2&NPNT,Ligand,NPNT
CLCF1&CRLF1,Ligand,CLCF1
CLCF1&CRLF1,Ligand,CRLF1
LTA&LTB,Ligand,LTA
LTA&LTB,Ligand,LTB
IGHG1&IGLC1,Ligand,IGHG1
IGHG1&IGLC1,Ligand,IGLC1
INHA&INHBA,Ligand,INHA
INHA&INHBA,Ligand,INHBA
INHA&INHBB,Ligand,INHA
INHA&INHBB,Ligand,INHBB
INHBA&INHBB,Ligand,INHBA
INHBA&INHBB,Ligand,INHBB
CSF1&IL34,Ligand,CSF1
CSF1&IL34,Ligand,IL34
IL12A&IL12B,Ligand,IL12A
IL12A&IL12B,Ligand,IL12B
EBI3&IL12A,Ligand,EBI3
EBI3&IL12A,Ligand,IL12A
IL12A&IL27,Ligand,IL12A
IL12A&IL27,Ligand,IL27
IL12B&IL23A,Ligand,IL12B
IL12B&IL23A,Ligand,IL23A
EBI3&IL27,Ligand,EBI3
EBI3&IL27,Ligand,IL27
IL17A&IL17F,Ligand,IL17A
IL17A&IL17F,Ligand,IL17F
ERBB2&ERBB3,Receptor,ERBB2
ERBB2&ERBB3,Receptor,ERBB3
ERBB2&ERBB4,Receptor,ERBB2
ERBB2&ERBB4,Receptor,ERBB4
EGFR&ERBB2,Receptor,EGFR
EGFR&ERBB2,Receptor,ERBB2
ITGA1&ITGB1,Receptor,ITGA1
ITGA1&ITGB1,Receptor,ITGB1
CNTN1&CNTNAP1,Receptor,CNTN1
CNTN1&CNTNAP1,Receptor,CNTNAP1
FPR2&FPR3,Receptor,FPR2
FPR2&FPR3,Receptor,FPR3
ITGAV&ITGB3,Receptor,ITGAV
ITGAV&ITGB3,Receptor,ITGB3
ITGAM&ITGB2,Receptor,ITGAM
ITGAM&ITGB2,Receptor,ITGB2
ITGAX&ITGB2,Receptor,ITGAX
ITGAX&ITGB2,Receptor,ITGB2
ITGAL&ITGB2,Receptor,ITGAL
ITGAL&ITGB2,Receptor,ITGB2
CD8A&CD8B,Receptor,CD8A
CD8A&CD8B,Receptor,CD8B
ITGA2B&ITGB3,Receptor,ITGA2B
ITGA2B&ITGB3,Receptor,ITGB3
ITGA3&ITGB1,Receptor,ITGA3
ITGA3&ITGB1,Receptor,ITGB1
ACVR1B&TGFBR2,Receptor,ACVR1B
ACVR1B&TGFBR2,Receptor,TGFBR2
TGFBR1&TGFBR2,Receptor,TGFBR1
TGFBR1&TGFBR2,Receptor,TGFBR2
ACVR1&TGFBR1&TGFBR2,Receptor,ACVR1
ACVR1&TGFBR1&TGFBR2,Receptor,TGFBR1
ACVR1&TGFBR1&TGFBR2,Receptor,TGFBR2
ACVR1&TGFBR2,Receptor,ACVR1
ACVR1&TGFBR2,Receptor,TGFBR2
ACVR1C&TGFBR2,Receptor,ACVR1C
ACVR1C&TGFBR2,Receptor,TGFBR2
ITGA2&ITGB1,Receptor,ITGA2
ITGA2&ITGB1,Receptor,ITGB1
ITGAE&ITGB7,Receptor,ITGAE
ITGAE&ITGB7,Receptor,ITGB7
KLRC1&KLRD1,Receptor,KLRC1
KLRC1&KLRD1,Receptor,KLRD1
KLRC2&KLRD1,Receptor,KLRC2
KLRC2&KLRD1,Receptor,KLRD1
KLRC3&KLRD1,Receptor,KLRC3
KLRC3&KLRD1,Receptor,KLRD1
ITGAD&ITGB2,Receptor,ITGAD
ITGAD&ITGB2,Receptor,ITGB2
ITGA4&ITGB1,Receptor,ITGA4
ITGA4&ITGB1,Receptor,ITGB1
ITGA9&ITGB1,Receptor,ITGA9
ITGA9&ITGB1,Receptor,ITGB1
ITGA4&ITGB7,Receptor,ITGA4
ITGA4&ITGB7,Receptor,ITGB7
ITGA5&ITGB1,Receptor,ITGA5
ITGA5&ITGB1,Receptor,ITGB1
ACVR2A&BMPR1B,Receptor,ACVR2A
ACVR2A&BMPR1B,Receptor,BMPR1B
ACVR2B&BMPR1B,Receptor,ACVR2B
ACVR2B&BMPR1B,Receptor,BMPR1B
BMPR1B&BMPR2,Receptor,BMPR1B
BMPR1B&BMPR2,Receptor,BMPR2
ACVR2A&BMPR1A,Receptor,ACVR2A
ACVR2A&BMPR1A,Receptor,BMPR1A
ACVR2B&BMPR1A,Receptor,ACVR2B
ACVR2B&BMPR1A,Receptor,BMPR1A
BMPR1A&BMPR2,Receptor,BMPR1A
BMPR1A&BMPR2,Receptor,BMPR2
ITGAV&ITGB1,Receptor,ITGAV
ITGAV&ITGB1,Receptor,ITGB1
HFE&TFRC,Receptor,HFE
HFE&TFRC,Receptor,TFRC
HCST&KLRK1,Receptor,HCST
HCST&KLRK1,Receptor,KLRK1
ITGA10&ITGB1,Receptor,ITGA10
ITGA10&ITGB1,Receptor,ITGB1
ITGA11&ITGB1,Receptor,ITGA11
ITGA11&ITGB1,Receptor,ITGB1
PLXNA1&TREM2&TYROBP,Receptor,PLXNA1
PLXNA1&TREM2&TYROBP,Receptor,TREM2
PLXNA1&TREM2&TYROBP,Receptor,TYROBP
KDR&PLXNA1,Receptor,KDR
KDR&PLXNA1,Receptor,PLXNA1
NRP1&PLXNA2,Receptor,NRP1
NRP1&PLXNA2,Receptor,PLXNA2
NRP1&PLXNA3,Receptor,NRP1
NRP1&PLXNA3,Receptor,PLXNA3
NRP1&PLXNA4,Receptor,NRP1
NRP1&PLXNA4,Receptor,PLXNA4
NRP1&PLXNA1,Receptor,NRP1
NRP1&PLXNA1,Receptor,PLXNA1
ITGAV&ITGB8,Receptor,ITGAV
ITGAV&ITGB8,Receptor,ITGB8
ITGA8&ITGB1,Receptor,ITGA8
ITGA8&ITGB1,Receptor,ITGB1
ITGA6&ITGB1,Receptor,ITGA6
ITGA6&ITGB1,Receptor,ITGB1
ITGA7&ITGB1,Receptor,ITGA7
ITGA7&ITGB1,Receptor,ITGB1
ITGA6&ITGB4,Receptor,ITGA6
ITGA6&ITGB4,Receptor,ITGB4
ITGAV&ITGB6,Receptor,ITGAV
ITGAV&ITGB6,Receptor,ITGB6
ITGAV&ITGB5,Receptor,ITGAV
ITGAV&ITGB5,Receptor,ITGB5
GP1BA&GP1BB,Receptor,GP1BA
GP1BA&GP1BB,Receptor,GP1BB
CNTFR&IL6ST,Receptor,CNTFR
CNTFR&IL6ST,Receptor,IL6ST
ACVR1B&ACVR2A,Receptor,ACVR1B
ACVR1B&ACVR2A,Receptor,ACVR2A
ACVR1&ACVR2A,Receptor,ACVR1
ACVR1&ACVR2A,Receptor,ACVR2A
ACVR1C&ACVR2A,Receptor,ACVR1C
ACVR1C&ACVR2A,Receptor,ACVR2A
ACVR1B&ACVR2B,Receptor,ACVR1B
ACVR1B&ACVR2B,Receptor,ACVR2B
ACVR1&ACVR2B,Receptor,ACVR1
ACVR1&ACVR2B,Receptor,ACVR2B
ACVR1C&ACVR2B,Receptor,ACVR1C
ACVR1C&ACVR2B,Receptor,ACVR2B
IL12RB1&IL12RB2,Receptor,IL12RB1
IL12RB1&IL12RB2,Receptor,IL12RB2
IL12RB2&IL6ST,Receptor,IL12RB2
IL12RB2&IL6ST,Receptor,IL6ST
IL12RB2&IL27RA,Receptor,IL12RB2
IL12RB2&IL27RA,Receptor,IL27RA
IL12RB1&IL23R,Receptor,IL12RB1
IL12RB1&IL23R,Receptor,IL23R
IL27RA&IL6ST,Receptor,IL27RA
IL27RA&IL6ST,Receptor,IL6ST
IL17RA&IL17RC,Receptor,IL17RA
IL17RA&IL17RC,Receptor,IL17RC
FZD9&LRP5,Receptor,FZD9
FZD9&LRP5,Receptor,LRP5
